»’∆⁄, ’≈Ã
2019/5/10,7916.94
2019/5/13,7647.02
2019/5/14,7734.49
2019/5/15,7822.15
2019/5/16,7898.05
2019/5/17,7816.28
2019/5/20,7702.38
2019/5/21,7785.72
2019/5/22,7750.84
2019/5/23,7628.28
2019/5/24,7637.01
2019/5/28,7607.35
2019/5/29,7547.31
2019/5/30,7567.72
2019/5/31,7453.15
2019/6/3,7333.02
2019/6/4,7527.12
2019/6/5,7575.48
2019/6/6,7615.55
2019/6/7,7742.1
2019/6/10,7823.17
2019/6/11,7822.57
2019/6/12,7792.72
2019/6/13,7837.13
2019/6/14,7796.66
2019/6/17,7845.02
2019/6/18,7953.88
2019/6/19,7987.32
2019/6/20,8051.34
2019/6/21,8031.71
2019/6/24,8005.7
2019/6/25,7884.72
2019/6/26,7909.97
2019/6/27,7967.76
2019/6/28,8006.24
2019/7/1,8091.16
2019/7/2,8109.09
2019/7/3,8170.23
2019/7/5,8161.79
2019/7/8,8098.38
2019/7/9,8141.73
2019/7/10,8202.53
2019/7/11,8196.04
2019/7/12,8244.14
2019/7/15,8258.19
2019/7/16,8222.8
2019/7/17,8185.21
2019/7/18,8207.24
2019/7/19,8146.49
2019/7/22,8204.14
2019/7/23,8204.14
2019/7/24,8321.5
2019/7/25,8238.54
2019/7/26,8330.21
2019/7/29,8293.33
2019/7/30,8273.61
2019/7/31,8175.42
2019/8/1,8111.12
2019/8/2,8004.07
2019/8/5,7726.04
2019/8/6,7833.27
2019/8/7,7862.83
2019/8/8,8039.16
2019/8/9,7959.14
2019/8/12,7863.41
2019/8/13,8016.36
2019/8/14,7773.94
2019/8/15,7766.62
2019/8/16,7895.99
2019/8/19,8002.81
2019/8/20,7948.56
2019/8/21,8020.21
2019/8/22,7991.39
2019/8/23,7751.77
2019/8/26,7853.74
2019/8/27,7826.95
2019/8/28,7856.88
2019/8/29,7973.39
2019/8/30,7962.88
2019/9/3,7874.16
2019/9/4,7976.88
2019/9/5,8116.83
2019/9/6,8103.07
2019/9/9,8087.44
2019/9/10,8084.16
2019/9/11,8169.68
2019/9/12,8194.47
2019/9/13,8176.71
2019/9/16,8153.54
2019/9/17,8186.02
2019/9/18,8177.39
2019/9/19,8182.88
2019/9/20,8117.67
2019/9/23,8112.46
2019/9/24,7993.63
2019/9/25,8077.38
2019/9/26,8030.66
2019/9/27,7939.63
2019/9/30,7999.34
2019/10/1,7908.68
2019/10/2,7785.25
2019/10/3,7872.26
2019/10/4,7982.47
2019/10/7,7956.29
2019/10/8,7823.78
2019/10/9,7903.74
2019/10/10,7950.78
2019/10/11,8057.04
2019/10/14,8048.65
2019/10/15,8148.71
2019/10/16,8124.18
2019/10/17,8156.85
2019/10/18,8089.54
2019/10/21,8162.99
2019/10/22,8104.3
2019/10/23,8119.79
2019/10/24,8185.8
2019/10/25,8243.12
2019/10/28,8325.99
2019/10/29,8276.85
2019/10/30,8303.98
2019/10/31,8292.36
2019/11/1,8386.4
2019/11/4,8433.2
2019/11/5,8434.68
2019/11/6,8410.63
2019/11/7,8434.52
2019/11/8,8475.31
2019/11/11,8464.28
2019/11/12,8486.09
2019/11/13,8482.1
2019/11/14,8479.02
2019/11/15,8540.83
2019/11/18,8549.94
2019/11/19,8570.66
2019/11/20,8526.73
2019/11/21,8506.21
2019/11/22,8519.88
2019/11/25,8632.49
2019/11/26,8647.93
2019/11/27,8705.18
2019/11/29,8665.47
2019/12/2,8567.99
2019/12/3,8520.64
2019/12/4,8566.67
2019/12/5,8570.7
2019/12/6,8656.53
2019/12/9,8621.83
2019/12/10,8616.18
2019/12/11,8654.05
2019/12/12,8717.32
2019/12/13,8734.88
2019/12/16,8814.23
2019/12/17,8823.36
2019/12/18,8827.73
2019/12/19,8887.22
2019/12/20,8924.96
2019/12/23,8945.65
2019/12/24,8952.88
2019/12/26,9022.39
2019/12/27,9006.62
2019/12/30,8945.99
2019/12/31,8972.6
2020/1/2,9092.19
2020/1/3,9020.77
2020/1/6,9071.47
2020/1/7,9068.58
2020/1/8,9129.24
2020/1/9,9203.43
2020/1/10,9178.86
2020/1/13,9273.93
2020/1/14,9251.33
2020/1/15,9258.7
2020/1/16,9357.13
2020/1/17,9388.94
2020/1/21,9370.81
2020/1/22,9383.77
2020/1/23,9402.48
2020/1/24,9314.91
2020/1/27,9139.31
2020/1/28,9269.68
2020/1/29,9275.16
2020/1/30,9298.93
2020/1/31,9150.94
2020/2/3,9273.4
2020/2/4,9467.97
2020/2/5,9508.68
2020/2/6,9572.15
2020/2/7,9520.51
2020/2/10,9628.39
2020/2/11,9638.94
2020/2/12,9725.96
2020/2/13,9711.97
2020/2/14,9731.18
2020/2/18,9732.74
2020/2/19,9817.18
2020/2/20,9750.96
2020/2/21,9576.59
2020/2/24,9221.28
2020/2/25,8965.61
2020/2/26,8980.77
2020/2/27,8566.48
2020/2/28,8567.37
2020/3/2,8952.16
2020/3/3,8684.09
2020/3/4,9018.09
2020/3/5,8738.6
2020/3/6,8575.62
2020/3/9,7950.68
2020/3/10,8344.25
2020/3/11,7952.05
2020/3/12,7201.8
2020/3/13,7874.88
2020/3/16,6904.59
2020/3/17,7334.78
2020/3/18,6989.84
2020/3/19,7150.58
2020/3/20,6879.52
2020/3/23,6860.67
2020/3/24,7417.86
2020/3/25,7384.3
2020/3/26,7797.54
