»’∆⁄, ’≈Ã
2019/4/30,3078.34
2019/5/6,2906.46
2019/5/7,2926.39
2019/5/8,2893.76
2019/5/9,2850.95
2019/5/10,2939.21
2019/5/13,2903.71
2019/5/14,2883.61
2019/5/15,2938.68
2019/5/16,2955.71
2019/5/17,2882.3
2019/5/20,2870.6
2019/5/21,2905.97
2019/5/22,2891.7
2019/5/23,2852.52
2019/5/24,2852.99
2019/5/27,2892.38
2019/5/28,2909.91
2019/5/29,2914.7
2019/5/30,2905.81
2019/5/31,2898.7
2019/6/3,2890.08
2019/6/4,2862.28
2019/6/5,2861.42
2019/6/6,2827.8
2019/6/10,2852.13
2019/6/11,2925.72
2019/6/12,2909.38
2019/6/13,2910.74
2019/6/14,2881.97
2019/6/17,2887.62
2019/6/18,2890.16
2019/6/19,2917.8
2019/6/20,2987.12
2019/6/21,3001.98
2019/6/24,3008.15
2019/6/25,2982.07
2019/6/26,2976.28
2019/6/27,2996.79
2019/6/28,2978.88
2019/7/1,3044.9
2019/7/2,3043.94
2019/7/3,3015.26
2019/7/4,3005.25
2019/7/5,3011.06
2019/7/8,2933.36
2019/7/9,2928.23
2019/7/10,2915.3
2019/7/11,2917.76
2019/7/12,2930.55
2019/7/15,2942.19
2019/7/16,2937.62
2019/7/17,2931.69
2019/7/18,2901.18
2019/7/19,2924.2
2019/7/22,2886.97
2019/7/23,2899.94
2019/7/24,2923.28
2019/7/25,2937.36
2019/7/26,2944.54
2019/7/29,2941.01
2019/7/30,2952.34
2019/7/31,2932.51
2019/8/1,2908.77
2019/8/2,2867.84
2019/8/5,2821.5
2019/8/6,2777.56
2019/8/7,2768.68
2019/8/8,2794.55
2019/8/9,2774.75
2019/8/12,2814.99
2019/8/13,2797.26
2019/8/14,2808.91
2019/8/15,2815.8
2019/8/16,2823.82
2019/8/19,2883.1
2019/8/20,2880
2019/8/21,2880.33
2019/8/22,2883.44
2019/8/23,2897.43
2019/8/26,2863.57
2019/8/27,2902.19
2019/8/28,2893.76
2019/8/29,2890.92
2019/8/30,2886.24
2019/9/2,2924.11
2019/9/3,2930.15
2019/9/4,2957.41
2019/9/5,2985.86
2019/9/6,2999.6
2019/9/9,3024.74
2019/9/10,3021.2
2019/9/11,3008.81
2019/9/12,3031.24
2019/9/16,3030.75
2019/9/17,2978.12
2019/9/18,2985.66
2019/9/19,2999.28
2019/9/20,3006.45
2019/9/23,2977.08
2019/9/24,2985.34
2019/9/25,2955.43
2019/9/26,2929.09
2019/9/27,2932.17
2019/9/30,2905.19
2019/10/8,2913.57
2019/10/9,2924.86
2019/10/10,2947.71
2019/10/11,2973.66
2019/10/14,3007.88
2019/10/15,2991.05
2019/10/16,2978.71
2019/10/17,2977.33
2019/10/18,2938.14
2019/10/21,2939.62
2019/10/22,2954.38
2019/10/23,2941.62
2019/10/24,2940.92
2019/10/25,2954.93
2019/10/28,2980.05
2019/10/29,2954.18
2019/10/30,2939.32
2019/10/31,2929.06
2019/11/1,2958.2
2019/11/4,2975.49
2019/11/5,2991.56
2019/11/6,2978.6
2019/11/7,2978.71
2019/11/8,2964.18
2019/11/11,2909.97
2019/11/12,2914.82
2019/11/13,2905.24
2019/11/14,2909.87
2019/11/15,2891.34
2019/11/18,2909.2
2019/11/19,2933.99
2019/11/20,2911.05
2019/11/21,2903.64
2019/11/22,2885.29
2019/11/25,2906.17
2019/11/26,2907.06
2019/11/27,2903.19
2019/11/28,2889.69
2019/11/29,2871.98
2019/12/2,2875.81
2019/12/3,2884.7
2019/12/4,2878.12
2019/12/5,2899.47
2019/12/6,2912.01
2019/12/9,2914.48
2019/12/10,2917.32
2019/12/11,2924.42
2019/12/12,2915.7
2019/12/13,2967.68
2019/12/16,2984.39
2019/12/17,3022.42
2019/12/18,3017.04
2019/12/19,3017.07
2019/12/20,3004.94
2019/12/23,2962.75
2019/12/24,2982.68
2019/12/25,2981.88
2019/12/26,3007.35
2019/12/27,3005.04
2019/12/30,3040.02
2019/12/31,3050.12
2020/1/2,3085.2
2020/1/3,3083.79
2020/1/6,3083.41
2020/1/7,3104.8
2020/1/8,3066.89
2020/1/9,3094.88
2020/1/10,3092.29
2020/1/13,3115.57
2020/1/14,3106.82
2020/1/15,3090.04
2020/1/16,3074.08
2020/1/17,3075.5
2020/1/20,3095.79
2020/1/21,3052.14
2020/1/22,3060.75
2020/1/23,2976.53
2020/2/3,2746.61
2020/2/4,2783.29
2020/2/5,2818.09
2020/2/6,2866.51
2020/2/7,2875.96
2020/2/10,2890.49
2020/2/11,2901.67
2020/2/12,2926.9
2020/2/13,2906.07
2020/2/14,2917.01
2020/2/17,2983.62
2020/2/18,2984.97
2020/2/19,2975.4
2020/2/20,3030.15
2020/2/21,3039.67
2020/2/24,3031.23
2020/2/25,3013.05
2020/2/26,2987.93
2020/2/27,2991.33
2020/2/28,2880.3
2020/3/2,2970.93
2020/3/3,2992.9
2020/3/4,3011.67
2020/3/5,3071.68
2020/3/6,3034.51
2020/3/9,2943.29
2020/3/10,2996.76
2020/3/11,2968.52
2020/3/12,2923.49
2020/3/13,2887.43
2020/3/16,2789.25
2020/3/17,2779.64
2020/3/18,2728.76
2020/3/19,2702.13
2020/3/20,2745.62
2020/3/23,2660.17
2020/3/24,2722.44
2020/3/25,2781.59
2020/3/26,2764.91
2020/3/27,2772.2
