»’∆⁄, ’≈Ã
2019/4/24,22200
2019/4/25,22307.58
2019/4/26,22258.73
2019/5/7,21923.72
2019/5/8,21602.59
2019/5/9,21402.13
2019/5/10,21344.92
2019/5/13,21191.28
2019/5/14,21067.23
2019/5/15,21188.56
2019/5/16,21062.98
2019/5/17,21250.09
2019/5/20,21301.73
2019/5/21,21272.45
2019/5/22,21283.37
2019/5/23,21151.14
2019/5/24,21117.22
2019/5/27,21182.58
2019/5/28,21260.14
2019/5/29,21003.37
2019/5/30,20942.53
2019/5/31,20601.19
2019/6/3,20410.88
2019/6/4,20408.54
2019/6/5,20776.1
2019/6/6,20774.04
2019/6/7,20884.71
2019/6/10,21134.42
2019/6/11,21204.28
2019/6/12,21129.72
2019/6/13,21032
2019/6/14,21116.89
2019/6/17,21124
2019/6/18,20972.71
2019/6/19,21333.87
2019/6/20,21462.86
2019/6/21,21258.64
2019/6/24,21285.99
2019/6/25,21193.81
2019/6/26,21086.59
2019/6/27,21338.17
2019/6/28,21275.92
2019/7/1,21729.97
2019/7/2,21754.27
2019/7/3,21638.16
2019/7/4,21702.45
2019/7/5,21746.38
2019/7/8,21534.35
2019/7/9,21565.15
2019/7/10,21533.48
2019/7/11,21643.53
2019/7/12,21685.9
2019/7/16,21535.25
2019/7/17,21469.18
2019/7/18,21046.24
2019/7/19,21466.99
2019/7/22,21416.79
2019/7/23,21620.88
2019/7/24,21709.57
2019/7/25,21756.55
2019/7/26,21658.15
2019/7/29,21616.8
2019/7/30,21709.31
2019/7/31,21521.53
2019/8/1,21540.99
2019/8/2,21087.16
2019/8/5,20720.29
2019/8/6,20585.31
2019/8/7,20516.56
2019/8/8,20593.35
2019/8/9,20684.82
2019/8/13,20455.44
2019/8/14,20655.13
2019/8/15,20405.65
2019/8/16,20418.81
2019/8/19,20563.16
2019/8/20,20677.22
2019/8/21,20618.57
2019/8/22,20628.01
2019/8/23,20710.91
2019/8/26,20261.04
2019/8/27,20456.08
2019/8/28,20479.42
2019/8/29,20460.93
2019/8/30,20704.37
2019/9/2,20620.19
2019/9/3,20625.16
2019/9/4,20649.14
2019/9/5,21085.94
2019/9/6,21199.57
2019/9/9,21318.42
2019/9/10,21392.1
2019/9/11,21597.76
2019/9/12,21759.61
2019/9/13,21988.29
2019/9/17,22001.32
2019/9/18,21960.71
2019/9/19,22044.45
2019/9/20,22079.09
2019/9/24,22098.84
2019/9/25,22020.15
2019/9/26,22048.24
2019/9/27,21878.9
2019/9/30,21755.84
2019/10/1,21885.24
2019/10/2,21778.61
2019/10/3,21341.74
2019/10/4,21410.2
2019/10/7,21375.25
2019/10/8,21587.78
2019/10/9,21456.38
2019/10/10,21551.98
2019/10/11,21798.87
2019/10/15,22207.21
2019/10/16,22472.92
2019/10/17,22451.86
2019/10/18,22492.68
2019/10/21,22548.9
2019/10/23,22625.38
2019/10/24,22750.6
2019/10/25,22799.81
2019/10/28,22867.27
2019/10/29,22974.13
2019/10/30,22843.12
2019/10/31,22927.04
2019/11/1,22850.77
2019/11/5,23251.99
2019/11/6,23303.82
2019/11/7,23330.32
2019/11/8,23391.87
2019/11/11,23331.84
2019/11/12,23520.01
2019/11/13,23319.87
2019/11/14,23141.55
2019/11/15,23303.32
2019/11/18,23416.76
2019/11/19,23292.65
2019/11/20,23148.57
2019/11/21,23038.58
2019/11/22,23112.88
2019/11/25,23292.81
2019/11/26,23373.32
2019/11/27,23437.77
2019/11/28,23409.14
2019/11/29,23293.91
2019/12/2,23529.5
2019/12/3,23379.81
2019/12/4,23135.23
2019/12/5,23300.09
2019/12/6,23354.4
2019/12/9,23430.7
2019/12/10,23410.19
2019/12/11,23391.86
2019/12/12,23424.81
2019/12/13,24023.1
2019/12/16,23952.35
2019/12/17,24066.12
2019/12/18,23934.43
2019/12/19,23864.85
2019/12/20,23816.63
2019/12/23,23821.11
2019/12/24,23830.58
2019/12/25,23782.87
2019/12/26,23924.92
2019/12/27,23837.72
2019/12/30,23656.62
2020/1/6,23204.86
2020/1/7,23575.72
2020/1/8,23204.76
2020/1/9,23739.87
2020/1/10,23850.57
2020/1/14,24025.17
2020/1/15,23916.58
2020/1/16,23933.13
2020/1/17,24041.26
2020/1/20,24083.51
2020/1/21,23864.56
2020/1/22,24031.35
2020/1/23,23795.44
2020/1/24,23827.18
2020/1/27,23343.51
2020/1/28,23215.71
2020/1/29,23379.4
2020/1/30,22977.75
2020/1/31,23205.18
2020/2/3,22971.94
2020/2/4,23084.59
2020/2/5,23319.56
2020/2/6,23873.59
2020/2/7,23827.98
2020/2/10,23685.98
2020/2/12,23861.21
2020/2/13,23827.73
2020/2/14,23687.59
2020/2/17,23523.24
2020/2/18,23193.8
2020/2/19,23400.7
2020/2/20,23479.15
2020/2/21,23386.74
2020/2/25,22605.41
2020/2/26,22426.19
2020/2/27,21948.23
2020/2/28,21142.96
2020/3/2,21344.08
2020/3/3,21082.73
2020/3/4,21100.06
2020/3/5,21329.12
2020/3/6,20749.75
2020/3/9,19698.76
2020/3/10,19867.12
2020/3/11,19416.06
2020/3/12,18559.63
2020/3/13,17431.05
2020/3/16,17002.04
2020/3/17,17011.53
2020/3/18,16726.55
2020/3/19,16552.83
2020/3/23,16887.78
2020/3/24,18092.35
2020/3/25,19546.63
2020/3/26,18664.6
2020/3/27,19389.43
